VARYING
,Pooling polynomial degree
,Pooling polynomial gamma
""
FIXED
,Dataset,USPS
,Base kernel,RBF
,Base kernel gamma,1 / num_features * variance
,Pooling kernel,polynomial
,Filter size,3
,Filter stride,1
,Pooling being used,True
,Cross validation,5-fold
""
RESULTS
,Degree,Gamma,Avg Error,Std Dev,Min,Max,Time
,4,0.0035,2.06,0.15,1.89,2.26,9.5
,4,0.004,2.06,0.12,1.93,2.22,9.5
,4,0.0045000000000000005,2.06,0.12,1.93,2.22,9.5
,4,0.005,2.07,0.12,1.93,2.22,9.5
,4,0.0055,2.07,0.12,1.93,2.22,9.5
,4,0.006,2.07,0.15,1.89,2.26,9.5
,4,0.006500000000000001,2.07,0.15,1.89,2.26,9.5
,4,0.007,2.09,0.14,1.93,2.26,9.5
,4,0.0075,2.11,0.15,1.93,2.3,9.5
,4,0.008,2.13,0.14,1.98,2.3,9.6
,4,0.0085,2.13,0.14,1.98,2.3,9.6
,4,0.009000000000000001,2.14,0.13,1.98,2.3,9.6
,4,0.0095,2.14,0.13,1.98,2.3,9.6
,4,0.01,2.14,0.13,1.98,2.3,9.6
,4,0.0105,2.14,0.15,1.93,2.3,9.6
,4,0.011,2.14,0.15,1.93,2.3,9.6
,4,0.0115,2.17,0.17,1.93,2.35,9.5
,4,0.012,2.18,0.15,1.98,2.35,9.6
,4,0.0125,2.18,0.15,1.98,2.35,9.6
,4,0.013000000000000001,2.18,0.15,1.98,2.35,9.6
,4,0.0135,2.18,0.15,1.98,2.35,9.6
,4,0.014,2.19,0.17,1.98,2.39,9.6
,4,0.0145,2.19,0.17,1.98,2.39,9.6
,4,0.015,2.21,0.17,1.98,2.39,9.7
,4,0.0155,2.24,0.16,2.02,2.39,9.7
,4,0.016,2.21,0.17,1.98,2.39,9.8
,4,0.0165,2.21,0.17,1.98,2.39,9.6
,4,0.017,2.22,0.18,1.98,2.39,9.9
,4,0.0175,2.22,0.18,1.98,2.39,9.6
,4,0.018000000000000002,2.22,0.18,1.98,2.39,9.6
,4,0.0185,2.22,0.18,1.98,2.39,9.6
,4,0.019,2.25,0.19,1.98,2.39,9.6
,4,0.0195,2.26,0.2,1.98,2.43,9.6
,4,0.02,2.28,0.19,2.02,2.43,9.6
,4,0.0205,2.28,0.19,2.02,2.43,9.6
,4,0.021,2.29,0.17,2.06,2.43,9.6
,4,0.021500000000000002,2.29,0.17,2.06,2.43,9.6
,4,0.022,2.3,0.15,2.1,2.43,9.6
,4,0.0225,2.32,0.13,2.14,2.43,9.6
,4,0.023,2.32,0.13,2.14,2.43,9.6
,4,0.0235,2.32,0.13,2.14,2.43,9.7
,4,0.024,2.32,0.13,2.14,2.43,9.6
,4,0.0245,2.32,0.13,2.14,2.43,9.7
,4,0.025,2.32,0.13,2.14,2.43,9.7
,4,0.025500000000000002,2.32,0.13,2.14,2.43,9.7
,4,0.026000000000000002,2.35,0.12,2.18,2.43,9.7
,4,0.0265,2.35,0.12,2.18,2.43,9.7
,4,0.027,2.35,0.12,2.18,2.43,9.6
,4,0.0275,2.35,0.12,2.18,2.43,9.7
,4,0.028,2.35,0.12,2.18,2.43,9.6
,4,0.0285,2.35,0.12,2.18,2.43,9.7
,4,0.029,2.35,0.12,2.18,2.43,11.7
,4,0.029500000000000002,2.35,0.12,2.18,2.43,10.5
,4,0.03,2.35,0.09,2.22,2.43,9.6
,4,0.0305,2.35,0.09,2.22,2.43,9.7
